bray_curtis	SRR6834172	SRR6834174	SRR6834173	SRR6834187	SRR6834177	SRR6834189	SRR6834178	SRR6834186	SRR6834183	SRR6834179	SRR6834182	SRR6834180	SRR6834175	SRR6834188	SRR6834176	SRR6834181	SRR6834184	SRR6834185
SRR6834172	0	0.295	0.871	0.633	0.460	0.647	0.547	0.903	0.568	0.914	0.860	0.975	0.640	0.658	0.932	0.950	0.892	0.950
SRR6834174	0.295	0	0.831	0.583	0.421	0.608	0.511	0.871	0.518	0.903	0.817	0.932	0.888	0.842	0.982	0.950	0.888	0.950
SRR6834173	0.871	0.831	0	0.345	0.781	0.608	0.701	0.471	0.856	0.888	0.583	0.655	0.906	0.957	0.986	0.960	0.827	0.888
SRR6834187	0.633	0.583	0.345	0	0.540	0.378	0.565	0.464	0.629	0.813	0.561	0.665	0.899	0.957	0.993	0.906	0.888	0.950
SRR6834177	0.460	0.421	0.781	0.540	0	0.281	0.309	0.576	0.594	0.863	0.737	0.896	0.906	0.957	0.993	0.960	0.885	0.946
SRR6834189	0.647	0.608	0.608	0.378	0.281	0	0.414	0.442	0.647	0.914	0.608	0.730	0.906	0.957	0.993	0.960	0.888	0.950
SRR6834178	0.547	0.511	0.701	0.565	0.309	0.414	0	0.676	0.561	0.871	0.763	0.838	0.906	0.957	0.986	0.960	0.849	0.910
SRR6834186	0.903	0.871	0.471	0.464	0.576	0.442	0.676	0	0.906	0.914	0.637	0.730	0.896	0.942	0.989	0.953	0.906	0.950
SRR6834183	0.568	0.518	0.856	0.629	0.594	0.647	0.561	0.906	0	0.788	0.766	0.935	0.640	0.835	0.687	0.683	0.892	0.950
SRR6834179	0.914	0.903	0.888	0.813	0.863	0.914	0.871	0.914	0.788	0	0.511	0.583	0.906	0.964	0.986	0.906	0.903	0.849
SRR6834182	0.860	0.817	0.583	0.561	0.737	0.608	0.763	0.637	0.766	0.511	0	0.665	0.899	0.957	0.986	0.935	0.888	0.946
SRR6834180	0.975	0.932	0.655	0.665	0.896	0.730	0.838	0.730	0.935	0.583	0.665	0	0.968	0.968	0.986	0.921	0.842	0.831
SRR6834175	0.640	0.888	0.906	0.899	0.906	0.906	0.906	0.896	0.640	0.906	0.899	0.968	0	0.565	0.799	0.741	0.906	0.950
SRR6834188	0.658	0.842	0.957	0.957	0.957	0.957	0.957	0.942	0.835	0.964	0.957	0.968	0.565	0	0.888	0.683	0.960	0.964
SRR6834176	0.932	0.982	0.986	0.993	0.993	0.993	0.986	0.989	0.687	0.986	0.986	0.986	0.799	0.888	0	0.478	0.993	0.993
SRR6834181	0.950	0.950	0.960	0.906	0.960	0.960	0.960	0.953	0.683	0.906	0.935	0.921	0.741	0.683	0.478	0	0.960	0.960
SRR6834184	0.892	0.888	0.827	0.888	0.885	0.888	0.849	0.906	0.892	0.903	0.888	0.842	0.906	0.960	0.993	0.960	0	0.198
SRR6834185	0.950	0.950	0.888	0.950	0.946	0.950	0.910	0.950	0.950	0.849	0.946	0.831	0.950	0.964	0.993	0.960	0.198	0
